559.2,9.79E-01,9.25E-01,8.00E-04
559.3,9.80E-01,9.24E-01,7.92E-04
559.4,9.80E-01,9.23E-01,7.85E-04
559.5,9.80E-01,9.22E-01,7.77E-04
559.6,9.80E-01,9.21E-01,7.69E-04
559.7,9.81E-01,9.20E-01,7.62E-04
559.8,9.81E-01,9.19E-01,7.55E-04
559.9,9.81E-01,9.19E-01,7.47E-04
560,9.81E-01,9.18E-01,7.40E-04
560.1,9.82E-01,9.17E-01,7.33E-04
560.2,9.82E-01,9.16E-01,7.26E-04
560.3,9.82E-01,9.15E-01,7.19E-04
560.4,9.83E-01,9.14E-01,7.12E-04
560.5,9.83E-01,9.14E-01,7.05E-04
560.6,9.83E-01,9.13E-01,6.98E-04
560.7,9.83E-01,9.12E-01,6.92E-04
560.8,9.84E-01,9.11E-01,6.85E-04
560.9,9.84E-01,9.10E-01,6.78E-04
561,9.84E-01,9.09E-01,6.72E-04
561.1,9.84E-01,9.09E-01,6.65E-04
561.2,9.85E-01,9.08E-01,6.59E-04
561.3,9.85E-01,9.07E-01,6.53E-04
561.4,9.85E-01,9.06E-01,6.46E-04
561.5,9.86E-01,9.05E-01,6.40E-04
561.6,9.86E-01,9.04E-01,6.34E-04
561.7,9.86E-01,9.03E-01,6.28E-04
561.8,9.86E-01,9.03E-01,6.22E-04
561.9,9.87E-01,9.02E-01,6.16E-04
562,9.87E-01,9.01E-01,6.10E-04
562.1,9.87E-01,9.00E-01,6.04E-04
562.2,9.88E-01,8.99E-01,5.98E-04
562.3,9.88E-01,8.98E-01,5.92E-04
562.4,9.88E-01,8.97E-01,5.87E-04
562.5,9.88E-01,8.97E-01,5.81E-04
562.6,9.89E-01,8.96E-01,5.75E-04
562.7,9.89E-01,8.95E-01,5.70E-04
562.8,9.89E-01,8.94E-01,5.64E-04
562.9,9.89E-01,8.93E-01,5.59E-04
563,9.90E-01,8.92E-01,5.53E-04
563.1,9.90E-01,8.91E-01,5.48E-04
563.2,9.90E-01,8.90E-01,5.43E-04
563.3,9.90E-01,8.90E-01,5.38E-04
563.4,9.91E-01,8.89E-01,5.32E-04
563.5,9.91E-01,8.88E-01,5.27E-04
563.6,9.91E-01,8.87E-01,5.22E-04
563.7,9.91E-01,8.86E-01,5.17E-04
563.8,9.92E-01,8.85E-01,5.12E-04
563.9,9.92E-01,8.84E-01,5.07E-04
564,9.92E-01,8.83E-01,5.02E-04
564.1,9.92E-01,8.82E-01,4.97E-04
564.2,9.93E-01,8.81E-01,4.93E-04
564.3,9.93E-01,8.80E-01,4.88E-04
564.4,9.93E-01,8.79E-01,4.83E-04
564.5,9.93E-01,8.78E-01,4.79E-04
564.6,9.94E-01,8.77E-01,4.74E-04
564.7,9.94E-01,8.76E-01,4.69E-04
564.8,9.94E-01,8.75E-01,4.65E-04
564.9,9.94E-01,8.74E-01,4.60E-04
565,9.94E-01,8.73E-01,4.56E-04
565.1,9.95E-01,8.72E-01,4.52E-04
565.2,9.95E-01,8.71E-01,4.47E-04
565.3,9.95E-01,8.70E-01,4.43E-04
565.4,9.95E-01,8.69E-01,4.39E-04
565.5,9.95E-01,8.68E-01,4.34E-04
565.6,9.96E-01,8.67E-01,4.30E-04
565.7,9.96E-01,8.66E-01,4.26E-04
565.8,9.96E-01,8.65E-01,4.22E-04
565.9,9.96E-01,8.64E-01,4.18E-04
566,9.96E-01,8.63E-01,4.14E-04
566.1,9.97E-01,8.61E-01,4.10E-04
566.2,9.97E-01,8.60E-01,4.06E-04
566.3,9.97E-01,8.59E-01,4.02E-04
566.4,9.97E-01,8.58E-01,3.98E-04
566.5,9.97E-01,8.57E-01,3.95E-04
566.6,9.97E-01,8.56E-01,3.91E-04
566.7,9.97E-01,8.55E-01,3.87E-04
566.8,9.98E-01,8.54E-01,3.83E-04
566.9,9.98E-01,8.52E-01,3.80E-04
567,9.98E-01,8.51E-01,3.76E-04
567.1,9.98E-01,8.50E-01,3.72E-04
567.2,9.98E-01,8.49E-01,3.69E-04
567.3,9.98E-01,8.48E-01,3.65E-04
567.4,9.98E-01,8.46E-01,3.62E-04
567.5,9.99E-01,8.45E-01,3.58E-04
567.6,9.99E-01,8.44E-01,3.55E-04
567.7,9.99E-01,8.43E-01,3.51E-04
567.8,9.99E-01,8.42E-01,3.48E-04
567.9,9.99E-01,8.40E-01,3.45E-04
568,9.99E-01,8.39E-01,3.41E-04
568.1,9.99E-01,8.38E-01,3.38E-04
568.2,9.99E-01,8.37E-01,3.35E-04
568.3,9.99E-01,8.35E-01,3.32E-04
568.4,9.99E-01,8.34E-01,3.29E-04
568.5,9.99E-01,8.33E-01,3.25E-04
568.6,9.99E-01,8.32E-01,3.22E-04
568.7,1.00E+00,8.30E-01,3.19E-04
568.8,1.00E+00,8.29E-01,3.16E-04
568.9,1.00E+00,8.28E-01,3.13E-04
569,1.00E+00,8.27E-01,3.10E-04
569.1,1.00E+00,8.25E-01,3.07E-04
569.2,1.00E+00,8.24E-01,3.04E-04
569.3,1.00E+00,8.23E-01,3.01E-04
569.4,1.00E+00,8.21E-01,2.98E-04
569.5,1.00E+00,8.20E-01,2.96E-04
569.6,1.00E+00,8.19E-01,2.93E-04
569.7,1.00E+00,8.17E-01,2.90E-04
569.8,1.00E+00,8.16E-01,2.87E-04
569.9,1.00E+00,8.15E-01,2.85E-04
570,1.00E+00,8.14E-01,2.82E-04
570.1,1.00E+00,8.12E-01,2.79E-04
570.2,1.00E+00,8.11E-01,2.76E-04
570.3,1.00E+00,8.10E-01,2.74E-04
570.4,1.00E+00,8.08E-01,2.71E-04
570.5,1.00E+00,8.07E-01,2.69E-04
570.6,1.00E+00,8.06E-01,2.66E-04
570.7,1.00E+00,8.04E-01,2.64E-04
570.8,1.00E+00,8.03E-01,2.61E-04
570.9,1.00E+00,8.01E-01,2.59E-04
571,1.00E+00,8.00E-01,2.56E-04
571.1,1.00E+00,7.99E-01,2.54E-04
571.2,1.00E+00,7.97E-01,2.51E-04
571.3,1.00E+00,7.96E-01,2.49E-04
571.4,1.00E+00,7.95E-01,2.46E-04
571.5,1.00E+00,7.93E-01,2.44E-04
571.6,9.99E-01,7.92E-01,2.42E-04
571.7,9.99E-01,7.90E-01,2.40E-04
571.8,9.99E-01,7.89E-01,2.37E-04
571.9,9.99E-01,7.88E-01,2.35E-04
572,9.99E-01,7.86E-01,2.33E-04
572.1,9.99E-01,7.85E-01,2.31E-04
572.2,9.99E-01,7.83E-01,2.28E-04
572.3,9.99E-01,7.82E-01,2.26E-04
572.4,9.99E-01,7.80E-01,2.24E-04
572.5,9.99E-01,7.79E-01,2.22E-04
572.6,9.98E-01,7.78E-01,2.20E-04
572.7,9.98E-01,7.76E-01,2.18E-04
572.8,9.98E-01,7.75E-01,2.16E-04
572.9,9.98E-01,7.73E-01,2.14E-04
573,9.98E-01,7.72E-01,2.12E-04
573.1,9.98E-01,7.70E-01,2.10E-04
573.2,9.97E-01,7.69E-01,2.08E-04
573.3,9.97E-01,7.67E-01,2.06E-04
573.4,9.97E-01,7.66E-01,2.04E-04
573.5,9.97E-01,7.64E-01,2.02E-04
573.6,9.96E-01,7.63E-01,2.00E-04
573.7,9.96E-01,7.61E-01,1.98E-04
573.8,9.96E-01,7.59E-01,1.96E-04
573.9,9.96E-01,7.58E-01,1.94E-04
574,9.95E-01,7.56E-01,1.92E-04
574.1,9.95E-01,7.55E-01,1.91E-04
574.2,9.95E-01,7.53E-01,1.89E-04
574.3,9.95E-01,7.52E-01,1.87E-04
574.4,9.94E-01,7.50E-01,1.85E-04
574.5,9.94E-01,7.48E-01,1.84E-04
574.6,9.94E-01,7.47E-01,1.82E-04
574.7,9.93E-01,7.45E-01,1.80E-04
574.8,9.93E-01,7.44E-01,1.78E-04
574.9,9.93E-01,7.42E-01,1.77E-04
575,9.92E-01,7.40E-01,1.75E-04
575.1,9.92E-01,7.39E-01,1.73E-04
575.2,9.92E-01,7.37E-01,1.72E-04
575.3,9.91E-01,7.35E-01,1.70E-04
575.4,9.91E-01,7.34E-01,1.69E-04
575.5,9.90E-01,7.32E-01,1.67E-04
575.6,9.90E-01,7.30E-01,1.65E-04
575.7,9.89E-01,7.29E-01,1.64E-04
575.8,9.89E-01,7.27E-01,1.62E-04
575.9,9.89E-01,7.25E-01,1.61E-04
576,9.88E-01,7.23E-01,1.59E-04
576.1,9.88E-01,7.22E-01,1.58E-04
576.2,9.87E-01,7.20E-01,1.56E-04
576.3,9.87E-01,7.18E-01,1.55E-04
576.4,9.86E-01,7.16E-01,1.53E-04
576.5,9.86E-01,7.15E-01,1.52E-04
576.6,9.85E-01,7.13E-01,1.51E-04
576.7,9.85E-01,7.11E-01,1.49E-04
576.8,9.84E-01,7.09E-01,1.48E-04
576.9,9.84E-01,7.08E-01,1.46E-04
577,9.83E-01,7.06E-01,1.45E-04
577.1,9.83E-01,7.04E-01,1.44E-04
577.2,9.82E-01,7.02E-01,1.42E-04
577.3,9.82E-01,7.01E-01,1.41E-04
577.4,9.81E-01,6.99E-01,1.40E-04
577.5,9.81E-01,6.97E-01,1.38E-04
577.6,9.80E-01,6.95E-01,1.37E-04
577.7,9.80E-01,6.94E-01,1.36E-04
577.8,9.79E-01,6.92E-01,1.34E-04
577.9,9.79E-01,6.90E-01,1.33E-04
578,9.78E-01,6.88E-01,1.32E-04
578.1,9.78E-01,6.86E-01,1.31E-04
578.2,9.77E-01,6.85E-01,1.29E-04
578.3,9.77E-01,6.83E-01,1.28E-04
578.4,9.76E-01,6.81E-01,1.27E-04
578.5,9.76E-01,6.79E-01,1.26E-04
578.6,9.75E-01,6.78E-01,1.25E-04
578.7,9.75E-01,6.76E-01,1.24E-04
578.8,9.74E-01,6.74E-01,1.22E-04
578.9,9.74E-01,6.72E-01,1.21E-04
579,9.74E-01,6.71E-01,1.20E-04
579.1,9.73E-01,6.69E-01,1.19E-04
579.2,9.73E-01,6.67E-01,1.18E-04
579.3,9.72E-01,6.65E-01,1.17E-04
579.4,9.72E-01,6.64E-01,1.16E-04
579.5,9.71E-01,6.62E-01,1.15E-04
579.6,9.71E-01,6.60E-01,1.14E-04
579.7,9.71E-01,6.58E-01,1.13E-04
579.8,9.70E-01,6.57E-01,1.12E-04
579.9,9.70E-01,6.55E-01,1.10E-04
580,9.69E-01,6.53E-01,1.09E-04
580.1,9.69E-01,6.52E-01,1.08E-04
580.2,9.69E-01,6.50E-01,1.07E-04
580.3,9.68E-01,6.48E-01,1.06E-04
580.4,9.68E-01,6.47E-01,1.05E-04
580.5,9.68E-01,6.45E-01,1.04E-04
580.6,9.67E-01,6.43E-01,1.04E-04
580.7,9.67E-01,6.41E-01,1.03E-04
580.8,9.67E-01,6.40E-01,1.02E-04
580.9,9.66E-01,6.38E-01,1.01E-04
581,9.66E-01,6.37E-01,9.97E-05
581.1,9.66E-01,6.35E-01,9.88E-05
581.2,9.66E-01,6.33E-01,9.79E-05
581.3,9.65E-01,6.32E-01,9.70E-05
581.4,9.65E-01,6.30E-01,9.61E-05
581.5,9.65E-01,6.28E-01,9.52E-05
581.6,9.65E-01,6.27E-01,9.43E-05
581.7,9.64E-01,6.25E-01,9.35E-05
581.8,9.64E-01,6.23E-01,9.26E-05
581.9,9.64E-01,6.22E-01,9.18E-05
582,9.64E-01,6.20E-01,9.09E-05
582.1,9.63E-01,6.19E-01,9.01E-05
582.2,9.63E-01,6.17E-01,8.92E-05
582.3,9.63E-01,6.15E-01,8.84E-05
582.4,9.63E-01,6.14E-01,8.76E-05
582.5,9.62E-01,6.12E-01,8.68E-05
582.6,9.62E-01,6.11E-01,8.60E-05
582.7,9.62E-01,6.09E-01,8.52E-05
582.8,9.62E-01,6.07E-01,8.44E-05
582.9,9.62E-01,6.06E-01,8.37E-05
583,9.61E-01,6.04E-01,8.29E-05
583.1,9.61E-01,6.03E-01,8.21E-05
583.2,9.61E-01,6.01E-01,8.14E-05
583.3,9.61E-01,5.99E-01,8.06E-05
583.4,9.60E-01,5.98E-01,7.99E-05
583.5,9.60E-01,5.96E-01,7.92E-05
583.6,9.60E-01,5.95E-01,7.84E-05
583.7,9.60E-01,5.93E-01,7.77E-05
583.8,9.59E-01,5.92E-01,7.70E-05
583.9,9.59E-01,5.90E-01,7.63E-05
584,9.59E-01,5.88E-01,7.56E-05
584.1,9.58E-01,5.87E-01,7.49E-05
584.2,9.58E-01,5.85E-01,7.42E-05
584.3,9.58E-01,5.84E-01,7.36E-05
584.4,9.58E-01,5.82E-01,7.29E-05
584.5,9.57E-01,5.80E-01,7.22E-05
584.6,9.57E-01,5.79E-01,7.16E-05
584.7,9.57E-01,5.77E-01,7.09E-05
584.8,9.56E-01,5.76E-01,7.03E-05
584.9,9.56E-01,5.74E-01,6.96E-05
585,9.56E-01,5.73E-01,6.90E-05
585.1,9.55E-01,5.71E-01,6.84E-05
585.2,9.55E-01,5.69E-01,6.77E-05
585.3,9.54E-01,5.68E-01,6.71E-05
585.4,9.54E-01,5.66E-01,6.65E-05
585.5,9.54E-01,5.65E-01,6.59E-05
585.6,9.53E-01,5.63E-01,6.53E-05
585.7,9.53E-01,5.62E-01,6.47E-05
585.8,9.52E-01,5.60E-01,6.41E-05
585.9,9.52E-01,5.58E-01,6.36E-05
586,9.52E-01,5.57E-01,6.30E-05
586.1,9.51E-01,5.55E-01,6.24E-05
586.2,9.51E-01,5.54E-01,6.18E-05
586.3,9.50E-01,5.52E-01,6.13E-05
586.4,9.50E-01,5.50E-01,6.07E-05
586.5,9.49E-01,5.49E-01,6.02E-05
586.6,9.49E-01,5.47E-01,5.96E-05
586.7,9.48E-01,5.46E-01,5.91E-05
586.8,9.48E-01,5.44E-01,5.86E-05
586.9,9.47E-01,5.42E-01,5.80E-05
587,9.47E-01,5.41E-01,5.75E-05
587.1,9.46E-01,5.39E-01,5.70E-05
587.2,9.46E-01,5.38E-01,5.65E-05
587.3,9.45E-01,5.36E-01,5.60E-05
587.4,9.44E-01,5.35E-01,5.55E-05
587.5,9.44E-01,5.33E-01,5.50E-05
587.6,9.43E-01,5.31E-01,5.45E-05
587.7,9.43E-01,5.30E-01,5.40E-05
587.8,9.42E-01,5.28E-01,5.35E-05
587.9,9.42E-01,5.27E-01,5.30E-05
588,9.41E-01,5.25E-01,5.25E-05
588.1,9.40E-01,5.23E-01,5.21E-05
588.2,9.40E-01,5.22E-01,5.16E-05
588.3,9.39E-01,5.20E-01,5.11E-05
588.4,9.38E-01,5.18E-01,5.07E-05
588.5,9.38E-01,5.17E-01,5.02E-05
588.6,9.37E-01,5.15E-01,4.98E-05
588.7,9.37E-01,5.14E-01,4.93E-05
588.8,9.36E-01,5.12E-01,4.89E-05
588.9,9.35E-01,5.10E-01,4.85E-05
589,9.35E-01,5.09E-01,4.80E-05
589.1,9.34E-01,5.07E-01,4.76E-05
589.2,9.33E-01,5.06E-01,4.72E-05
589.3,9.33E-01,5.04E-01,4.67E-05
589.4,9.32E-01,5.02E-01,4.63E-05
589.5,9.31E-01,5.01E-01,4.59E-05
589.6,9.31E-01,4.99E-01,4.55E-05
589.7,9.30E-01,4.97E-01,4.51E-05
589.8,9.29E-01,4.96E-01,4.47E-05
589.9,9.28E-01,4.94E-01,4.43E-05
590,9.28E-01,4.93E-01,4.39E-05
590.1,9.27E-01,4.91E-01,4.35E-05
590.2,9.26E-01,4.89E-01,4.31E-05
590.3,9.25E-01,4.88E-01,4.27E-05
590.4,9.25E-01,4.86E-01,4.24E-05
590.5,9.24E-01,4.84E-01,4.20E-05
590.6,9.23E-01,4.83E-01,4.16E-05
590.7,9.23E-01,4.81E-01,4.12E-05
590.8,9.22E-01,4.80E-01,4.09E-05
590.9,9.21E-01,4.78E-01,4.05E-05
591,9.20E-01,4.76E-01,4.02E-05
591.1,9.19E-01,4.75E-01,3.98E-05
591.2,9.19E-01,4.73E-01,3.94E-05
591.3,9.18E-01,4.71E-01,3.91E-05
591.4,9.17E-01,4.70E-01,3.88E-05
591.5,9.16E-01,4.68E-01,3.84E-05
591.6,9.16E-01,4.66E-01,3.81E-05
591.7,9.15E-01,4.65E-01,3.77E-05
591.8,9.14E-01,4.63E-01,3.74E-05
591.9,9.13E-01,4.62E-01,3.71E-05
592,9.12E-01,4.60E-01,3.67E-05
592.1,9.12E-01,4.58E-01,3.64E-05
592.2,9.11E-01,4.57E-01,3.61E-05
592.3,9.10E-01,4.55E-01,3.58E-05
592.4,9.09E-01,4.53E-01,3.55E-05
592.5,9.08E-01,4.52E-01,3.52E-05
592.6,9.07E-01,4.50E-01,3.48E-05
592.7,9.07E-01,4.48E-01,3.45E-05
592.8,9.06E-01,4.47E-01,3.42E-05
592.9,9.05E-01,4.45E-01,3.39E-05
593,9.04E-01,4.44E-01,3.36E-05
593.1,9.03E-01,4.42E-01,3.33E-05
593.2,9.02E-01,4.40E-01,3.30E-05
593.3,9.01E-01,4.39E-01,3.28E-05
593.4,9.01E-01,4.37E-01,3.25E-05
593.5,9.00E-01,4.35E-01,3.22E-05
593.6,8.99E-01,4.34E-01,3.19E-05
593.7,8.98E-01,4.32E-01,3.16E-05
593.8,8.97E-01,4.31E-01,3.13E-05
593.9,8.96E-01,4.29E-01,3.11E-05
594,8.95E-01,4.27E-01,3.08E-05
594.1,8.94E-01,4.26E-01,3.05E-05
594.2,8.93E-01,4.24E-01,3.03E-05
594.3,8.93E-01,4.22E-01,3.00E-05
594.4,8.92E-01,4.21E-01,2.97E-05
594.5,8.91E-01,4.19E-01,2.95E-05
594.6,8.90E-01,4.18E-01,2.92E-05
594.7,8.89E-01,4.16E-01,2.90E-05
594.8,8.88E-01,4.14E-01,2.87E-05
594.9,8.87E-01,4.13E-01,2.85E-05
595,8.86E-01,4.11E-01,2.82E-05
595.1,8.85E-01,4.10E-01,2.80E-05
595.2,8.84E-01,4.08E-01,2.77E-05
595.3,8.83E-01,4.06E-01,2.75E-05
595.4,8.82E-01,4.05E-01,2.73E-05
595.5,8.81E-01,4.03E-01,2.70E-05
595.6,8.80E-01,4.02E-01,2.68E-05
595.7,8.79E-01,4.00E-01,2.66E-05
595.8,8.78E-01,3.99E-01,2.63E-05
595.9,8.77E-01,3.97E-01,2.61E-05
596,8.76E-01,3.95E-01,2.59E-05
596.1,8.75E-01,3.94E-01,2.56E-05
596.2,8.74E-01,3.92E-01,2.54E-05
596.3,8.73E-01,3.91E-01,2.52E-05
596.4,8.72E-01,3.89E-01,2.50E-05
596.5,8.71E-01,3.88E-01,2.48E-05
596.6,8.70E-01,3.86E-01,2.46E-05
596.7,8.69E-01,3.84E-01,2.43E-05
596.8,8.68E-01,3.83E-01,2.41E-05
596.9,8.67E-01,3.81E-01,2.39E-05
597,8.66E-01,3.80E-01,2.37E-05
597.1,8.65E-01,3.78E-01,2.35E-05
597.2,8.64E-01,3.77E-01,2.33E-05
597.3,8.63E-01,3.75E-01,2.31E-05
597.4,8.62E-01,3.74E-01,2.29E-05
597.5,8.61E-01,3.72E-01,2.27E-05
597.6,8.60E-01,3.71E-01,2.25E-05
597.7,8.59E-01,3.69E-01,2.23E-05
597.8,8.58E-01,3.67E-01,2.21E-05
597.9,8.57E-01,3.66E-01,2.20E-05
598,8.56E-01,3.64E-01,2.18E-05
598.1,8.55E-01,3.63E-01,2.16E-05
598.2,8.54E-01,3.61E-01,2.14E-05
598.3,8.52E-01,3.60E-01,2.12E-05
598.4,8.51E-01,3.58E-01,2.10E-05
598.5,8.50E-01,3.57E-01,2.09E-05
598.6,8.49E-01,3.55E-01,2.07E-05
598.7,8.48E-01,3.54E-01,2.05E-05
598.8,8.47E-01,3.52E-01,2.03E-05
598.9,8.46E-01,3.51E-01,2.01E-05
599,8.45E-01,3.49E-01,2.00E-05
599.1,8.44E-01,3.48E-01,1.98E-05
599.2,8.43E-01,3.46E-01,1.96E-05
599.3,8.42E-01,3.45E-01,1.95E-05
599.4,8.41E-01,3.43E-01,1.93E-05
599.5,8.39E-01,3.42E-01,1.91E-05
599.6,8.38E-01,3.40E-01,1.90E-05
599.7,8.37E-01,3.39E-01,1.88E-05
599.8,8.36E-01,3.37E-01,1.87E-05
599.9,8.35E-01,3.36E-01,1.85E-05
600,8.34E-01,3.34E-01,1.83E-05
600.1,8.33E-01,3.33E-01,1.82E-05
600.2,8.32E-01,3.31E-01,1.80E-05
600.3,8.31E-01,3.30E-01,1.79E-05
600.4,8.30E-01,3.29E-01,1.77E-05
600.5,8.28E-01,3.27E-01,1.76E-05
600.6,8.27E-01,3.26E-01,1.74E-05
600.7,8.26E-01,3.24E-01,1.73E-05
600.8,8.25E-01,3.23E-01,1.71E-05
600.9,8.24E-01,3.21E-01,1.70E-05
601,8.23E-01,3.20E-01,1.69E-05
601.1,8.22E-01,3.18E-01,1.67E-05
601.2,8.21E-01,3.17E-01,1.66E-05
601.3,8.19E-01,3.16E-01,1.64E-05
601.4,8.18E-01,3.14E-01,1.63E-05
601.5,8.17E-01,3.13E-01,1.62E-05
601.6,8.16E-01,3.11E-01,1.60E-05
601.7,8.15E-01,3.10E-01,1.59E-05
601.8,8.14E-01,3.08E-01,1.58E-05
601.9,8.13E-01,3.07E-01,1.56E-05
602,8.11E-01,3.06E-01,1.55E-05
602.1,8.10E-01,3.04E-01,1.54E-05
602.2,8.09E-01,3.03E-01,1.52E-05
602.3,8.08E-01,3.01E-01,1.51E-05
602.4,8.07E-01,3.00E-01,1.50E-05
602.5,8.06E-01,2.99E-01,1.49E-05
602.6,8.05E-01,2.97E-01,1.47E-05
602.7,8.03E-01,2.96E-01,1.46E-05
602.8,8.02E-01,2.94E-01,1.45E-05
602.9,8.01E-01,2.93E-01,1.44E-05
603,8.00E-01,2.92E-01,1.42E-05
603.1,7.99E-01,2.90E-01,1.41E-05
603.2,7.97E-01,2.89E-01,1.40E-05
603.3,7.96E-01,2.88E-01,1.39E-05
603.4,7.95E-01,2.86E-01,1.38E-05
603.5,7.94E-01,2.85E-01,1.37E-05
603.6,7.93E-01,2.83E-01,1.36E-05
603.7,7.91E-01,2.82E-01,1.34E-05
603.8,7.90E-01,2.81E-01,1.33E-05
603.9,7.89E-01,2.79E-01,1.32E-05
604,7.88E-01,2.78E-01,1.31E-05
604.1,7.86E-01,2.77E-01,1.30E-05
604.2,7.85E-01,2.75E-01,1.29E-05
604.3,7.84E-01,2.74E-01,1.28E-05
604.4,7.83E-01,2.73E-01,1.27E-05
604.5,7.81E-01,2.71E-01,1.26E-05
604.6,7.80E-01,2.70E-01,1.25E-05
604.7,7.79E-01,2.69E-01,1.24E-05
604.8,7.78E-01,2.67E-01,1.23E-05
604.9,7.76E-01,2.66E-01,1.22E-05
605,7.75E-01,2.65E-01,1.21E-05
605.1,7.74E-01,2.64E-01,1.20E-05
605.2,7.73E-01,2.62E-01,1.19E-05
605.3,7.71E-01,2.61E-01,1.18E-05
605.4,7.70E-01,2.60E-01,1.17E-05
605.5,7.69E-01,2.58E-01,1.16E-05
605.6,7.67E-01,2.57E-01,1.15E-05
605.7,7.66E-01,2.56E-01,1.14E-05
605.8,7.65E-01,2.55E-01,1.13E-05
605.9,7.63E-01,2.53E-01,1.12E-05
606,7.62E-01,2.52E-01,1.11E-05
606.1,7.61E-01,2.51E-01,1.10E-05
606.2,7.59E-01,2.50E-01,1.09E-05
606.3,7.58E-01,2.48E-01,1.08E-05
606.4,7.57E-01,2.47E-01,1.08E-05
606.5,7.55E-01,2.46E-01,1.07E-05
606.6,7.54E-01,2.45E-01,1.06E-05
606.7,7.53E-01,2.43E-01,1.05E-05
606.8,7.51E-01,2.42E-01,1.04E-05
606.9,7.50E-01,2.41E-01,1.03E-05
607,7.48E-01,2.40E-01,1.02E-05
607.1,7.47E-01,2.39E-01,1.02E-05
607.2,7.46E-01,2.37E-01,1.01E-05
607.3,7.44E-01,2.36E-01,9.99E-06
607.4,7.43E-01,2.35E-01,9.91E-06
607.5,7.41E-01,2.34E-01,9.83E-06
607.6,7.40E-01,2.33E-01,9.75E-06
607.7,7.39E-01,2.31E-01,9.67E-06
607.8,7.37E-01,2.30E-01,9.59E-06
607.9,7.36E-01,2.29E-01,9.52E-06
608,7.34E-01,2.28E-01,9.44E-06
608.1,7.33E-01,2.27E-01,9.36E-06
608.2,7.32E-01,2.25E-01,9.29E-06
608.3,7.30E-01,2.24E-01,9.21E-06
608.4,7.29E-01,2.23E-01,9.14E-06
608.5,7.27E-01,2.22E-01,9.07E-06
608.6,7.26E-01,2.21E-01,8.99E-06
608.7,7.25E-01,2.20E-01,8.92E-06
608.8,7.23E-01,2.19E-01,8.85E-06
608.9,7.22E-01,2.17E-01,8.78E-06
609,7.20E-01,2.16E-01,8.71E-06
609.1,7.19E-01,2.15E-01,8.64E-06
609.2,7.17E-01,2.14E-01,8.57E-06
609.3,7.16E-01,2.13E-01,8.50E-06
609.4,7.14E-01,2.12E-01,8.43E-06
609.5,7.13E-01,2.11E-01,8.36E-06
609.6,7.12E-01,2.10E-01,8.30E-06
609.7,7.10E-01,2.09E-01,8.23E-06
609.8,7.09E-01,2.07E-01,8.16E-06
609.9,7.07E-01,2.06E-01,8.10E-06
610,7.06E-01,2.05E-01,8.03E-06
610.1,7.04E-01,2.04E-01,7.97E-06
610.2,7.03E-01,2.03E-01,7.91E-06
610.3,7.01E-01,2.02E-01,7.84E-06
610.4,7.00E-01,2.01E-01,7.78E-06
610.5,6.98E-01,2.00E-01,7.72E-06
610.6,6.97E-01,1.99E-01,7.66E-06
610.7,6.95E-01,1.98E-01,7.60E-06
610.8,6.94E-01,1.97E-01,7.54E-06
610.9,6.93E-01,1.96E-01,7.48E-06
611,6.91E-01,1.95E-01,7.42E-06
611.1,6.90E-01,1.94E-01,7.36E-06
611.2,6.88E-01,1.93E-01,7.30E-06
611.3,6.87E-01,1.92E-01,7.24E-06
611.4,6.85E-01,1.91E-01,7.19E-06
611.5,6.84E-01,1.89E-01,7.13E-06
611.6,6.82E-01,1.88E-01,7.07E-06
611.7,6.81E-01,1.87E-01,7.02E-06
611.8,6.79E-01,1.86E-01,6.96E-06
611.9,6.78E-01,1.85E-01,6.91E-06
612,6.76E-01,1.84E-01,6.85E-06
612.1,6.75E-01,1.83E-01,6.80E-06
612.2,6.73E-01,1.82E-01,6.75E-06
612.3,6.72E-01,1.81E-01,6.69E-06
612.4,6.70E-01,1.80E-01,6.64E-06
612.5,6.69E-01,1.80E-01,6.59E-06
612.6,6.67E-01,1.79E-01,6.54E-06
612.7,6.66E-01,1.78E-01,6.48E-06
612.8,6.64E-01,1.77E-01,6.43E-06
612.9,6.63E-01,1.76E-01,6.38E-06
613,6.61E-01,1.75E-01,6.33E-06
613.1,6.60E-01,1.74E-01,6.28E-06
613.2,6.58E-01,1.73E-01,6.23E-06
613.3,6.57E-01,1.72E-01,6.19E-06
613.4,6.55E-01,1.71E-01,6.14E-06
613.5,6.54E-01,1.70E-01,6.09E-06
613.6,6.52E-01,1.69E-01,6.04E-06
613.7,6.51E-01,1.68E-01,6.00E-06
613.8,6.49E-01,1.67E-01,5.95E-06
613.9,6.48E-01,1.66E-01,5.90E-06
614,6.46E-01,1.65E-01,5.86E-06
614.1,6.45E-01,1.64E-01,5.81E-06
614.2,6.43E-01,1.63E-01,5.77E-06
614.3,6.41E-01,1.63E-01,5.72E-06
614.4,6.40E-01,1.62E-01,5.68E-06
614.5,6.38E-01,1.61E-01,5.63E-06
614.6,6.37E-01,1.60E-01,5.59E-06
614.7,6.35E-01,1.59E-01,5.55E-06
614.8,6.34E-01,1.58E-01,5.50E-06
614.9,6.32E-01,1.57E-01,5.46E-06
615,6.31E-01,1.56E-01,5.42E-06
615.1,6.29E-01,1.55E-01,0.00E+00
615.2,6.28E-01,1.54E-01,0.00E+00
615.3,6.26E-01,1.54E-01,0.00E+00
615.4,6.25E-01,1.53E-01,0.00E+00
615.5,6.23E-01,1.52E-01,0.00E+00
